product_id,product_name,brand_name,current_price,max_price,percent_off,variants,offers,category_name
pimprod2023230,Curl Define Ultra-8 Pre-Wash Treatment,Nexxus,8.47,16.99,0.5,,,Hair
pimprod2023230,Curl Define Ultra-8 Pre-Wash Treatment,Nexxus,8.47,16.99,0.5,,,Treatment
pimprod2023230,Curl Define Ultra-8 Pre-Wash Treatment,Nexxus,8.47,16.99,0.5,,,Masks
pimprod2023237,Pro Pure Micellar Moisture Conditioner,Tresemme,3.97,7.99,0.5,,,Hair
pimprod2023237,Pro Pure Micellar Moisture Conditioner,Tresemme,3.97,7.99,0.5,,,Shampoo & Conditioner
pimprod2023237,Pro Pure Micellar Moisture Conditioner,Tresemme,3.97,7.99,0.5,,,Conditioner
pimprod2023725,Temporary Tattoos Two Of A Kind Pack,Inked by Dani,6.49,12.99,0.5,,,Makeup
pimprod2023725,Temporary Tattoos Two Of A Kind Pack,Inked by Dani,6.49,12.99,0.5,,,Body Makeup
pimprod2023901,Tinted Self Tan Lotion,ULTA,5.49,10.99,0.5,Light/Medium,,Skin Care
pimprod2023901,Tinted Self Tan Lotion,ULTA,5.49,10.99,0.5,Light/Medium,,Suncare
pimprod2023901,Tinted Self Tan Lotion,ULTA,5.49,10.99,0.5,Light/Medium,,Self-Tanning & Bronzing
pimprod2023920,Limited Edition Self Tan Applicator Mitt,ULTA,2.99,5.99,0.5,"Seashells, Coral",,Skin Care
pimprod2023920,Limited Edition Self Tan Applicator Mitt,ULTA,2.99,5.99,0.5,"Seashells, Coral",,Suncare
pimprod2023920,Limited Edition Self Tan Applicator Mitt,ULTA,2.99,5.99,0.5,"Seashells, Coral",,Self-Tanning & Bronzing
pimprod2023954,Glow Splendour Highlighter,Makeup Revolution,6.0,12.0,0.5,"Soft Glam, Ambient, Luminous, Lit From Within, Ring Light, So Glazed",,Makeup
pimprod2023954,Glow Splendour Highlighter,Makeup Revolution,6.0,12.0,0.5,"Soft Glam, Ambient, Luminous, Lit From Within, Ring Light, So Glazed",,Face
pimprod2023954,Glow Splendour Highlighter,Makeup Revolution,6.0,12.0,0.5,"Soft Glam, Ambient, Luminous, Lit From Within, Ring Light, So Glazed",,Highlighter
pimprod2024101,The Berries Velvety Matte Lipstick,Juvia's Place,7.0,14.0,0.5,Oh Damn (rich burgundy),,Makeup
pimprod2024101,The Berries Velvety Matte Lipstick,Juvia's Place,7.0,14.0,0.5,Oh Damn (rich burgundy),,Lips
pimprod2024101,The Berries Velvety Matte Lipstick,Juvia's Place,7.0,14.0,0.5,Oh Damn (rich burgundy),,Lipstick
pimprod2024160,Suncare For Hair Ultimate Hydration + Beach Wave Perfection,Bumble and bumble,6.9,20.0,0.66,,Free Gift,Gifts
pimprod2024160,Suncare For Hair Ultimate Hydration + Beach Wave Perfection,Bumble and bumble,6.9,20.0,0.66,,Free Gift,By Category
pimprod2024160,Suncare For Hair Ultimate Hydration + Beach Wave Perfection,Bumble and bumble,6.9,20.0,0.66,,Free Gift,Hair Gifts
pimprod2024346,Curl Collective Reversible Cap,Conair,5.0,10.0,0.5,,,Bath & Body
pimprod2024346,Curl Collective Reversible Cap,Conair,5.0,10.0,0.5,,,Bath & Body Accessories
pimprod2024346,Curl Collective Reversible Cap,Conair,5.0,10.0,0.5,,,Hair Towels & Shower Caps
pimprod2024349,Curl Collective Coily Adjustable Elastics,Conair,3.0,6.0,0.5,,,Hair
pimprod2024349,Curl Collective Coily Adjustable Elastics,Conair,3.0,6.0,0.5,,,Accessories
pimprod2024349,Curl Collective Coily Adjustable Elastics,Conair,3.0,6.0,0.5,,,Elastics
pimprod2024354,Curl Collective Coily Spiral Elastics,Conair,3.0,6.0,0.5,,,Hair
pimprod2024354,Curl Collective Coily Spiral Elastics,Conair,3.0,6.0,0.5,,,Accessories
pimprod2024354,Curl Collective Coily Spiral Elastics,Conair,3.0,6.0,0.5,,,Elastics
pimprod2024391,Miracle Gel and Disney's Cruella Collection,Sally Hansen,2.5,9.99,0.75,"Fame & Fortune (pearlescent purple), Iconic Darling! (pearlescent grey), Luck & Glory (iridescent sheer blue)",,Nails
pimprod2024391,Miracle Gel and Disney's Cruella Collection,Sally Hansen,2.5,9.99,0.75,"Fame & Fortune (pearlescent purple), Iconic Darling! (pearlescent grey), Luck & Glory (iridescent sheer blue)",,Gel Nail Polish
pimprod2024494,Travel Size Biolage All-In-One Shampoo Scrub,Biolage,9.0,50.0,0.82,,,Hair
pimprod2024494,Travel Size Biolage All-In-One Shampoo Scrub,Biolage,9.0,50.0,0.82,,,Shampoo & Conditioner
pimprod2024494,Travel Size Biolage All-In-One Shampoo Scrub,Biolage,9.0,50.0,0.82,,,Shampoo
pimprod2024623,"Deeper Conditioner, Fragrance Free",SEEN,28.0,36.0,0.22,,Online Only,Hair
pimprod2024623,"Deeper Conditioner, Fragrance Free",SEEN,28.0,36.0,0.22,,Online Only,Shampoo & Conditioner
