,main_category,sub_category,sub_sub_category,name,brand,product,price,options,offers,rating,number_of_reviews,url
80,makeup,lips, ,Too Faced Sweet Peach Creamy Lip Oil,Too Faced,Sweet Peach Creamy Lip Oil,13.97, , ,4.50,1187,https://www.ulta.com/sweet-peach-creamy-lip-oil?productId=xlsImpprod15191123
81,makeup,face,highlighter,Too Faced Tutti Frutti - Fresh Squeezed Highlighting Drops,Too Faced,Tutti Frutti - Fresh Squeezed Highlighting Drops,20.97,2 Colors, ,3.60,58,https://www.ulta.com/tutti-frutti-fresh-squeezed-highlighting-drops?productId=xlsImpprod18941015
82,makeup,face, ,Too Faced Tutti Frutti - Fruit Cocktail Blush Duo,Too Faced,Tutti Frutti - Fruit Cocktail Blush Duo,20.97, , ,4.50,166,https://www.ulta.com/tutti-frutti-fruit-cocktail-blush-duo?productId=xlsImpprod18941029
83,makeup,lips, ,Too Faced Tutti Frutti - Juicy Fruits Comfort Lip Glaze,Too Faced,Tutti Frutti - Juicy Fruits Comfort Lip Glaze,13.97,3 Colors, ,4.40,215,https://www.ulta.com/tutti-frutti-juicy-fruits-comfort-lip-glaze?productId=xlsImpprod18941025
84,makeup,eyes,eyeshadow,Too Faced Tutti Frutti - Twinkle Twinkle Liquid Glitter Eyeshadow,Too Faced,Tutti Frutti - Twinkle Twinkle Liquid Glitter Eyeshadow,15.97, , ,4.00,190,https://www.ulta.com/tutti-frutti-twinkle-twinkle-liquid-glitter-eyeshadow?productId=xlsImpprod18941009
85,bath & body,ulta collection, ,ULTA Beauty Addict Sanitizer Sling,ULTA,Beauty Addict Sanitizer Sling,1.97, , ,Price, ,https://www.ulta.com/beauty-addict-sanitizer-sling?productId=xlsImpprod18691117
86,bath & body,ulta collection, ,ULTA Black Cat Sanitizer Sling,ULTA,Black Cat Sanitizer Sling,1.97, , ,3.70,3,https://www.ulta.com/black-cat-sanitizer-sling?productId=xlsImpprod18691115
87,makeup,ulta collection, ,ULTA Bohemian Treasure Cream Blush,ULTA,Bohemian Treasure Cream Blush,4.97, , ,3.80,18,https://www.ulta.com/bohemian-treasure-cream-blush?productId=pimprod2007674
88,makeup,gifts & value sets, ,ULTA Moroccan Magic Eyeshadow Palette,ULTA,Moroccan Magic Eyeshadow Palette,9.97, , ,2.50,4,https://www.ulta.com/moroccan-magic-eyeshadow-palette?productId=pimprod2007751
89,bath & body,ulta collection, ,ULTA Sweets & Treats Shower Cap,ULTA,Sweets & Treats Shower Cap,0.97, , ,4.00,3,https://www.ulta.com/sweets-treats-shower-cap?productId=xlsImpprod18741099
90,makeup,face,highlighter,Urban Decay Cosmetics Naked Skin The Illuminizer Translucent Pressed Beauty Powder,Urban Decay Cosmetics,Naked Skin The Illuminizer Translucent Pressed Beauty Powder,23.97, , ,4.30,123,https://www.ulta.com/naked-skin-illuminizer-translucent-pressed-beauty-powder?productId=xlsImpprod16061001
91,makeup,face, ,Urban Decay Cosmetics Naked Skin Weightless Complete Coverage Concealer,Urban Decay Cosmetics,Naked Skin Weightless Complete Coverage Concealer,20.97,5 Colors, ,4.50,2906,https://www.ulta.com/naked-skin-weightless-complete-coverage-concealer?productId=xlsImpprod11911129
92,makeup,face, ,Urban Decay Cosmetics Naked Skin Weightless Ultra Definition Liquid Makeup,Urban Decay Cosmetics,Naked Skin Weightless Ultra Definition Liquid Makeup,27.97,13 Colors, ,4.50,7433,https://www.ulta.com/naked-skin-weightless-ultra-definition-liquid-makeup?productId=xlsImpprod4550001
93,makeup,eyes, ,Urban Decay Cosmetics Razor Sharp Water-Resistant Longwear Liquid Eyeliner,Urban Decay Cosmetics,Razor Sharp Water-Resistant Longwear Liquid Eyeliner,15.97,9 Colors, ,4.10,703,https://www.ulta.com/razor-sharp-water-resistant-longwear-liquid-eyeliner?productId=xlsImpprod14491011
94,makeup,face,face primer,Urban Decay Cosmetics Rebound Collagen-Infused Complexion Prep Priming Spray,Urban Decay Cosmetics,Rebound Collagen-Infused Complexion Prep Priming Spray,22.97, , ,4.20,37,https://www.ulta.com/rebound-collagen-infused-complexion-prep-priming-spray?productId=xlsImpprod17391147
95,skin care,moisturizers, ,Urban Decay Cosmetics Rehab Makeup Prep Hot Springs Hydrating Gel,Urban Decay Cosmetics,Rehab Makeup Prep Hot Springs Hydrating Gel,19.97, , ,4.60,116,https://www.ulta.com/rehab-makeup-prep-hot-springs-hydrating-gel?productId=xlsImpprod15771047
96,makeup,lips, ,Urban Decay Cosmetics Sparkle Out Loud Hi-Fi Shine Ultra Cushion Lip Gloss,Urban Decay Cosmetics,Sparkle Out Loud Hi-Fi Shine Ultra Cushion Lip Gloss,13.97,2 Colors, ,4.20,256,https://www.ulta.com/sparkle-out-loud-hi-fi-shine-ultra-cushion-lip-gloss?productId=pimprod2006949
97,makeup,lips, ,Urban Decay Cosmetics Vice Lipstick,Urban Decay Cosmetics,Vice Lipstick,13.97,24 Colors, ,4.60,1394,https://www.ulta.com/vice-lipstick?productId=xlsImpprod14251029
98,makeup,lips, ,Urban Decay Cosmetics Vice Lipstick Comfort Matte,Urban Decay Cosmetics,Vice Lipstick Comfort Matte, ,20 Colors, ,4.60,4316,https://www.ulta.com/vice-lipstick-comfort-matte?productId=xlsImpprod14251019
99,makeup,lips,lipstick,Urban Decay Cosmetics Vice Lipstick Mega Matte,Urban Decay Cosmetics,Vice Lipstick Mega Matte,13.97,4 Colors, ,4.60,4316,https://www.ulta.com/vice-lipstick-mega-matte?productId=xlsImpprod14251021
100,makeup,lips, ,Urban Decay Cosmetics Vice Lipstick Metallized,Urban Decay Cosmetics,Vice Lipstick Metallized,13.97,11 Colors, ,4.60,4316,https://www.ulta.com/vice-lipstick-metallized?productId=xlsImpprod14251023
101,makeup,lips, ,Urban Decay Cosmetics Vice Special Effects Long-Lasting Water-Resistant Lip Topcoat,Urban Decay Cosmetics,Vice Special Effects Long-Lasting Water-Resistant Lip Topcoat,13.97, , ,3.80,293,https://www.ulta.com/vice-special-effects-long-lasting-water-resistant-lip-topcoat?productId=xlsImpprod15771057
102,tools & brushes,hair brushes & combs, ,Wet Brush Pro Shine Enhancer Brush,Wet Brush,Pro Shine Enhancer Brush,8.97, , ,4.80,52,https://www.ulta.com/pro-shine-enhancer-brush?productId=xlsImpprod18361147
103,skin care,treatment & serums,face serums,Wish Formula I'm Pro Ampoule Pad - C,Wish Formula,I'm Pro Ampoule Pad - C,15.97, , ,Price, ,https://www.ulta.com/im-pro-ampoule-pad-c?productId=xlsImpprod17991027
104,nails,nail polish, ,Young Nails Caption Nail Polish,Young Nails,Caption Nail Polish,4.97, , ,3.90,7,https://www.ulta.com/caption-nail-polish?productId=xlsImpprod17531221
105,makeup,eyes,eyeshadow,bareMinerals Gen Nude Metallic Liquid Eyeshadow,bareMinerals,Gen Nude Metallic Liquid Eyeshadow,15.97, , ,4.70,17,https://www.ulta.com/gen-nude-metallic-liquid-eyeshadow?productId=pimprod2007602
106,makeup,face, ,e.l.f. Cosmetics Flawless Finish Foundation,e.l.f. Cosmetics,Flawless Finish Foundation,2.97,26 Colors, ,3.70,387,https://www.ulta.com/flawless-finish-foundation?productId=xlsImpprod14541123
