ratings_and_offers_id,product_id,url,price,options,price_str,mult_sizes
188,pimprod2015263,https://www.ulta.com/pure-powder-highlighter?productId=pimprod2015263,$28.00,3 Colors,$28.00,False
189,pimprod2003122,https://www.ulta.com/double-wear-instant-fix-concealer-24h-concealer-hydra-prep?productId=pimprod2003122,$30.00,22 Colors,$30.00,False
190,xlsImpprod3650146,https://www.ulta.com/maquicomplet-complete-coverage-concealer?productId=xlsImpprod3650146,$31.00,13 Colors,$31.00,False
191,xlsImpprod3520009,https://www.ulta.com/clear-complexion-concealer?productId=xlsImpprod3520009,$4.49,,$4.49,False
192,xlsImpprod17751159,https://www.ulta.com/powder-lights-highlighter?productId=xlsImpprod17751159,$16.00,3 Colors,$16.00,False
193,pimprod2017917,https://www.ulta.com/infinite-loose-setting-powder?productId=pimprod2017917,$10.00,,$10.00,False
194,xlsImpprod4540223,https://www.ulta.com/correcting-concealer-broad-spectrum-spf-20?productId=xlsImpprod4540223,$22.00,8 Colors,$22.00,False
195,pimprod2008858,https://www.ulta.com/cocoa-blend-highlight-face-palette?productId=pimprod2008858,$17.00,,$17.00,False
196,xlsImpprod10821078,https://www.ulta.com/colored-clay-cc-undereye-corrector?productId=xlsImpprod10821078,$25.00,2 Colors,$25.00,False
197,xlsImpprod3460285,https://www.ulta.com/hi-definition-photo-concealer-wand?productId=xlsImpprod3460285,$6.00,22 Colors,$4.50,False
198,pimprod2009142,https://www.ulta.com/opulence-blush-palette?productId=pimprod2009142,$19.00,,$19.00,False
199,xlsImpprod17451041,https://www.ulta.com/shimmer-highlighting-powder?productId=xlsImpprod17451041,$6.00,,$6.00,False
200,pimprod2017920,https://www.ulta.com/tasty-avocado-nourishing-priming-spray?productId=pimprod2017920,$8.00,,$8.00,False
201,pimprod2009096,https://www.ulta.com/travel-size-teint-idole-ultra-liquid-24h-longwear-spf-15-foundation?productId=pimprod2009096,$22.00,,$22.00,False
202,xlsImpprod16251016,https://www.ulta.com/boi-ing-hydrating-concealer?productId=xlsImpprod16251016,$22.00,6 Colors,$22.00,False
203,xlsImpprod17631323,https://www.ulta.com/in-your-prime-perfecting-primer?productId=xlsImpprod17631323,$10.99,,$10.99,False
204,xlsImpprod17741143,https://www.ulta.com/brightening-cover-watery-cushion-foundation-spf-50?productId=xlsImpprod17741143,$36.00,,$36.00,False
205,pimprod2012611,https://www.ulta.com/shape-tape-glow-wand?productId=pimprod2012611,$25.00,8 Colors,$25.00,False
206,xlsImpprod13621057,https://www.ulta.com/full-coverage-liquid-concealer?productId=xlsImpprod13621057,$9.00,5 Colors,$9.00,False
207,prod15661160,https://www.ulta.com/matte-spray-set-go-setting-spray?productId=prod15661160,$7.99,,$7.99,False
