ulta_id,product_id,main_category,sub_category,sub_sub_category,brand,product,url
3335,pimprod2015317,makeup,gifts & value sets,makeup palettes,Buxom,XTROVERT Eyeshadow Palette,https://www.ulta.com/xtrovert-eyeshadow-palette?productId=pimprod2015317
3336,xlsImpprod17721169,makeup,eyes,eyelashes,Kiss,"Lash Couture Faux Mink, Midnight",https://www.ulta.com/lash-couture-faux-mink-midnight?productId=xlsImpprod17721169
3337,pimprod2012880,makeup,gifts & value sets,makeup palettes,Milani,Gilded Nude Palette,https://www.ulta.com/gilded-nude-palette?productId=pimprod2012880
3338,pimprod2016806,makeup,eyes,eyeshadow,Stila,Kaleidoscope Eyeshadow,https://www.ulta.com/kaleidoscope-eyeshadow?productId=pimprod2016806
3339,pimprod2013556,makeup,gifts & value sets,makeup palettes,Essence,Like Swinging Waves Water Eyeshadow Palette,https://www.ulta.com/like-swinging-waves-water-eyeshadow-palette?productId=pimprod2013556
3340,xlsImpprod15481015,makeup,eyes,eyelashes,Ardell,Mega Volume Lash #250,https://www.ulta.com/mega-volume-lash-250?productId=xlsImpprod15481015
3341,xlsImpprod15571017,makeup,eyes,eyelashes,Eylure,Accent No. 003,https://www.ulta.com/accent-no-003?productId=xlsImpprod15571017
3342,pimprod2008386,makeup,gifts & value sets,makeup palettes,I Heart Revolution,Red Velvet Chocolate Palette,https://www.ulta.com/red-velvet-chocolate-palette?productId=pimprod2008386
3343,xlsImpprod17631443,makeup,eyes,eyelashes,Ardell,WISPIES Lash Twin Pack #113,https://www.ulta.com/wispies-lash-twin-pack-113?productId=xlsImpprod17631443
3344,xlsImpprod18731051,makeup,gifts & value sets,makeup palettes,LORAC,PRO Palette 4,https://www.ulta.com/pro-palette-4?productId=xlsImpprod18731051
3345,xlsImpprod13671113,makeup,eyes,eyelashes,Ardell,Double Up Wispies,https://www.ulta.com/double-up-wispies?productId=xlsImpprod13671113
3346,xlsImpprod18431008,makeup,eyes,eyeshadow,Dose Of Colors,Block Party Single Eyeshadow,https://www.ulta.com/block-party-single-eyeshadow?productId=xlsImpprod18431008
3347,xlsImpprod12191299,makeup,eyes,eyelashes,Ardell,Individuals Medium Black Lashes,https://www.ulta.com/individuals-medium-black-lashes?productId=xlsImpprod12191299
3348,pimprod2008004,makeup,gifts & value sets,makeup palettes,NABLA,Cutie Palette Nude,https://www.ulta.com/cutie-palette-nude?productId=pimprod2008004
3349,pimprod2016675,makeup,gifts & value sets,makeup palettes,ZOEVA,Sweet Glamour Eyeshadow Palette,https://www.ulta.com/sweet-glamour-eyeshadow-palette?productId=pimprod2016675
3350,xlsImpprod17121095,makeup,gifts & value sets,makeup palettes,Dose Of Colors,Sassy Siennas Eyeshadow Palette,https://www.ulta.com/sassy-siennas-eyeshadow-palette?productId=xlsImpprod17121095
3351,xlsImpprod641115,makeup,eyes,eyeshadow,CoverGirl,Eye Enhancers 3 Kit Shadows,https://www.ulta.com/eye-enhancers-3-kit-shadows?productId=xlsImpprod641115
3352,xlsImpprod17721157,makeup,eyes,eyelashes,Kiss,"Lash Couture 5th Ave, Splendor",https://www.ulta.com/lash-couture-5th-ave-splendor?productId=xlsImpprod17721157
3353,pimprod2008099,makeup,gifts & value sets,makeup palettes,I Heart Revolution,Tasty Pizza Palette,https://www.ulta.com/tasty-pizza-palette?productId=pimprod2008099
3354,pimprod2013264,makeup,eyes,eyeshadow,L.A. Girl,Glitterholic Glitter Topper,https://www.ulta.com/glitterholic-glitter-topper?productId=pimprod2013264
3355,xlsImpprod13501005,makeup,gifts & value sets,makeup palettes,CoverGirl,Nudes TruNaked Eyeshadow Palette,https://www.ulta.com/nudes-trunaked-eyeshadow-palette?productId=xlsImpprod13501005
3356,pimprod2013746,makeup,gifts & value sets,makeup palettes,I Heart Revolution,Mini Chocolate Cherry Palette,https://www.ulta.com/mini-chocolate-cherry-palette?productId=pimprod2013746
3357,pimprod2000988,makeup,eyes,eyelashes,Lilly Lashes,Faux Mink False Lashes Marisa,https://www.ulta.com/faux-mink-false-lashes-marisa?productId=pimprod2000988
3358,pimprod2016141,makeup,gifts & value sets,makeup palettes,Makeup Revolution,Heatwave Shadow Palette,https://www.ulta.com/heatwave-shadow-palette?productId=pimprod2016141
3359,pimprod2012776,makeup,gifts & value sets,makeup palettes,Ofra Cosmetics,Glitch Palette,https://www.ulta.com/glitch-palette?productId=pimprod2012776
3360,xlsImpprod15571053,makeup,eyes,eyelashes,Ardell,Double Up Individuals,https://www.ulta.com/double-up-individuals?productId=xlsImpprod15571053
3361,xlsImpprod17731259,makeup,gifts & value sets,makeup palettes,MAC,MAC Girls Qween Supreme,https://www.ulta.com/mac-girls-qween-supreme?productId=xlsImpprod17731259
3362,pimprod2006280,makeup,gifts & value sets,makeup palettes,Makeup Revolution,Forever Flawless Constellation Eyeshadow Palette,https://www.ulta.com/forever-flawless-constellation-eyeshadow-palette?productId=pimprod2006280
3363,pimprod2013575,makeup,gifts & value sets,makeup palettes,Physicians Formula,Rosé All Play Eyeshadow Bouquet,https://www.ulta.com/rose-all-play-eyeshadow-bouquet?productId=pimprod2013575
3364,pimprod2002631,makeup,eyes,eyeshadow,CoverGirl,Full Spectrum So Saturated Quad Palette,https://www.ulta.com/full-spectrum-so-saturated-quad-palette?productId=pimprod2002631
3365,pimprod2017067,makeup,eyes,eyeshadow palettes,CoverGirl,TruNaked Quad Eyeshadow Palette,https://www.ulta.com/trunaked-quad-eyeshadow-palette?productId=pimprod2017067
