ulta_id,product_id,main_category,sub_category,sub_sub_category,brand,product,url
805,pimprod2017333,skin care,gifts & value sets, ,Mario Badescu,Take it to Glow 2.0,https://www.ulta.com/take-it-glow-20?productId=pimprod2017333
806,pimprod2016110,skin care,gifts & value sets, ,Pixi,Best of Milky,https://www.ulta.com/best-of-milky?productId=pimprod2016110
807,pimprod2017623,skin care,gifts & value sets, ,Perricone MD,Vitamin C Ester Brighter Together,https://www.ulta.com/vitamin-c-ester-brighter-together?productId=pimprod2017623
808,pimprod2017624,skin care,gifts & value sets, ,Perricone MD,Hypoallergenic CBD Sensitive Skin Therapy Calming & Soothing CBD Collection,https://www.ulta.com/hypoallergenic-cbd-sensitive-skin-therapy-calming-soothing-cbd-collection?productId=pimprod2017624
809,pimprod2017776,skin care,gifts & value sets, ,THE ROUTE,Lil' Glow Duo - The At-Home Illuminizing Peel and Primer Kit,https://www.ulta.com/lil-glow-duo-at-home-illuminizing-peel-primer-kit?productId=pimprod2017776
810,pimprod2016325,men,gifts & value sets, ,Baxter of California,On the Go Essentials Bundle Travel Size Kit,https://www.ulta.com/on-go-essentials-bundle-travel-size-kit?productId=pimprod2016325
811,pimprod2017772,skin care,gifts & value sets, ,Philosophy,Purity Made Simple Set,https://www.ulta.com/purity-made-simple-set?productId=pimprod2017772
812,xlsImpprod18431042,skin care,gifts & value sets, ,Patchology,On the Fly Multi-Masking Travel Skincare Kit,https://www.ulta.com/on-fly-multi-masking-travel-skincare-kit?productId=xlsImpprod18431042
813,pimprod2018076,bath & body,travel size, ,Juice Beauty,Travel Size GREEN APPLE Hand Sanitizer,https://www.ulta.com/travel-size-green-apple-hand-sanitizer?productId=pimprod2018076
814,pimprod2017054,skin care,gifts & value sets, ,Estée Lauder,Radiant Skin Repair + Renew Set,https://www.ulta.com/radiant-skin-repair-renew-set?productId=pimprod2017054
815,pimprod2013787,hair,shampoo & conditioner, ,Derma E,Volume & Shine Restoring Shampoo,https://www.ulta.com/volume-shine-restoring-shampoo?productId=pimprod2013787
816,pimprod2017411,hair,hair color,color care,Bosley,BosDefense Color Safe 30 Day Kit,https://www.ulta.com/bosdefense-color-safe-30-day-kit?productId=pimprod2017411
817,pimprod2016002,hair,gifts & value sets, ,AG Hair,Endless Summer Toning Trifecta Set,https://www.ulta.com/endless-summer-toning-trifecta-set?productId=pimprod2016002
818,pimprod2017965,hair,shampoo & conditioner, ,Bosley,Scalp Relief Anti-Dandruff Shampoo,https://www.ulta.com/scalp-relief-anti-dandruff-shampoo?productId=pimprod2017965
819,xlsImpprod14771039,hair,travel size, ,Living Proof,Travel Size Restore Shampoo,https://www.ulta.com/travel-size-restore-shampoo?productId=xlsImpprod14771039
820,pimprod2015994,hair,gifts & value sets, ,AG Hair,Endless Summer Colour Care Set,https://www.ulta.com/endless-summer-colour-care-set?productId=pimprod2015994
821,pimprod2017208,hair,shampoo & conditioner, ,NatureLab. Tokyo,Perfect Repair Shampoo Refill,https://www.ulta.com/perfect-repair-shampoo-refill?productId=pimprod2017208
