product_id,option,price,sale,available,timestamp
pimprod2005693,"Doré (medium to olive skin tones with green, yellow, or golden undertones)",39,0.0,1.0,
pimprod2005693,Caramel (tan to deep skin tones w/ red and golden undertones),39,0.0,1.0,
xlsImpprod4930069,Natural Glow,39,1.0,1.0,
xlsImpprod4930069,Rosy Glow,39,1.0,1.0,
xlsImpprod4930069,Desert Glow,39,1.0,1.0,
xlsImpprod4930069,Beach Glow,39,1.0,1.0,
xlsImpprod4930069,Warm Glow,39,1.0,1.0,
xlsImpprod4930069,Sunkissed,39,1.0,1.0,
xlsImpprod4930069,Deep Glow,39,1.0,1.0,
xlsImpprod17761877,Light/Medium,52,0.0,1.0,
xlsImpprod17761877,Golden,52,0.0,1.0,
pimprod2004088,BB1 (very light w/ neutral undertones),50,1.0,1.0,
pimprod2004088,BB3 (medium light w/ pink undertones),50,1.0,1.0,
pimprod2004088,BB4 (medum light w/ neurtral undertones),50,1.0,1.0,
pimprod2004088,BB5 (medium light w/ gold undertones),50,1.0,1.0,
pimprod2004088,BB6 (medium light w/ strong yellow undertones),50,1.0,1.0,
pimprod2004088,BB7 (medium w/ strong yellow undertones),50,1.0,1.0,
pimprod2004088,BB8 (medium dark w/ golden undertones),50,1.0,1.0,
pimprod2004088,BB9 (medium dark w/ peach/gold undertones),50,1.0,1.0,
pimprod2004088,BB11 (deep w/ gold/brown undertones),50,1.0,1.0,
pimprod2004088,BB12 (deep rich chocolate brown w/ red/gold undertones),50,1.0,1.0,
pimprod2019973,Fair 01,16.99,1.0,1.0,
pimprod2019973,Fair 02,16.99,1.0,1.0,
pimprod2019973,Fair 03,16.99,1.0,1.0,
pimprod2019973,Light 01,16.99,1.0,1.0,
pimprod2019973,Light 02,16.99,1.0,1.0,
pimprod2019973,Light 03,16.99,1.0,1.0,
pimprod2019973,Medium 01,16.99,1.0,1.0,
pimprod2019973,Medium 02,16.99,1.0,1.0,
pimprod2019973,Medium 03,16.99,1.0,1.0,
pimprod2019973,Deep 01,16.99,1.0,1.0,
pimprod2019973,Deep 02,16.99,1.0,1.0,
pimprod2019973,Deep 03,16.99,1.0,1.0,
pimprod2012933,,16,1.0,1.0,
pimprod2004243,Shade 1 (for light skintones),40,0.0,1.0,
pimprod2004243,Shade 2 (for light to medium skintones),40,0.0,1.0,
pimprod2004243,Shade 3 (for medium skintones),40,0.0,1.0,
pimprod2004243,Shade 4 (for medium to deep skintones),40,0.0,1.0,
pimprod2004243,Shade 5 (for deep skintones),40,0.0,1.0,
xlsImpprod14161013,Fair,9.99,0.0,1.0,
xlsImpprod14161013,Light/Medium,9.99,0.0,1.0,
xlsImpprod14161013,Light,9.99,0.0,1.0,
xlsImpprod14161013,Medium,9.99,0.0,1.0,
xlsImpprod14161013,Medium/Deep,9.99,0.0,1.0,
xlsImpprod14161013,Deep,9.99,0.0,1.0,
xlsImpprod10791853,Shade 02,39.5,0.0,1.0,
xlsImpprod10791853,Shade 03,39.5,0.0,1.0,
xlsImpprod10721037,Light,8.99,1.0,1.0,
xlsImpprod10721037,Light/Medium,8.99,1.0,1.0,
xlsImpprod10721037,Medium,8.99,1.0,1.0,
xlsImpprod10721037,Medium/Deep,8.99,1.0,1.0,
xlsImpprod10721037,Deep,8.99,1.0,1.0,
pimprod2015577,Clair (fair to light skin tones with pink undertones),24,1.0,1.0,
pimprod2015577,"Golden (medium to olive skin tones with green, yellow, or golden undertones)",24,1.0,1.0,
xlsImpprod6380153,Nude,13,1.0,0.0,
xlsImpprod6380153,Natural,13,1.0,1.0,
xlsImpprod6380153,Golden,13,1.0,0.0,
pimprod2018776,,24,0.0,0.0,
xlsImpprod10821034,,11.99,1.0,1.0,
xlsImpprod13871063,Shade 6,16,1.0,1.0,
xlsImpprod13871063,Shade 11,16,1.0,1.0,
xlsImpprod13871063,Shade 3,16,1.0,1.0,
xlsImpprod5540023,Light/Medium,14.99,0.0,1.0,
pimprod2015578,Clair (Fair to light skin with pink undertones),22,0.0,1.0,
pimprod2015578,Doré (medium to golden skin),22,0.0,1.0,
xlsImpprod4960053,Light/Medium,14.99,0.0,1.0,
xlsImpprod4480171,Fair,11.99,1.0,1.0,
